sheet,cell,original,translation
体检3个产品,A3,体检项目,
体检3个产品,B3,体检项目详情,
体检3个产品,E3,单价/元,
体检3个产品,F3,体检项目,
体检3个产品,G3,体检项目详情,
体检3个产品,J3,单价/元,
体检3个产品,K3,体检项目,
体检3个产品,L3,体检项目详情,
体检3个产品,O3,体检项目,
体检3个产品,P3,体检项目详情,
体检3个产品,S3,单价/元,
体检3个产品,T3,体检项目,
体检3个产品,U3,体检项目详情,
体检3个产品,X3,单价/元,
体检3个产品,Y3,体检项目,
体检3个产品,Z3,体检项目详情,
体检3个产品,AC3,单价/元,
体检3个产品,A4,一般检查及体格检查,
体检3个产品,B4,"血压检测、体重指数（测量身高、体重，计算体重指数）测定；内科：病史采集及体格检查（心肺肝脾肾）
耳鼻喉科：外耳道、鼓膜、听力、鼻腔、鼻窦、咽喉（电耳镜、间接喉镜、嗅觉功能）眼科：眼底、眼压、裂隙灯检查",
体检3个产品,F4,一般检查及体格检查,
体检3个产品,G4,"血压检测、体重指数（测量身高、体重，计算体重指数）测定；内科：病史采集及体格检查（心肺肝脾肾）
耳鼻喉科：外耳道、鼓膜、听力、鼻腔、鼻窦、咽喉（电耳镜、间接喉镜、嗅觉功能）眼科：眼底、眼压、裂隙灯检查",
体检3个产品,K4,一般检查及体格检查,
体检3个产品,L4,血压检测、体重指数测定；内科：病史采集及体格检查；耳鼻喉科；眼科常规检查：眼压、裂隙灯检查、眼底照相；筛查常见慢性病的危险因素，如超重/肥胖、高血压；采集疾病诊断所需的重要参考资料；检查疾病的异常体征,
体检3个产品,N4,"=_wpsfn.WPSAI.TRANSLATE(L4,""英文"")",
体检3个产品,O4,一般检查及体格检查,
体检3个产品,P4,血压检测、体重指数测定；内科：病史采集及体格检查；耳鼻喉科；眼科常规检查：眼压、裂隙灯检查、眼底照相；筛查常见慢性病的危险因素，如超重/肥胖、高血压；采集疾病诊断所需的重要参考资料；检查疾病的异常体征,
体检3个产品,Q4,"=_wpsfn.WPSAI.TRANSLATE(O4,""英文"")",
体检3个产品,R4,"=_wpsfn.WPSAI.TRANSLATE(P4,""英文"")",
体检3个产品,T4,一般检查及体格检查,
体检3个产品,U4,血压检测、体重指数测定；内科：病史采集及体格检查；耳鼻喉科；眼科常规检查：眼压、裂隙灯检查、眼底照相；筛查常见慢性病的危险因素，如超重/肥胖、高血压；采集疾病诊断所需的重要参考资料；检查疾病的异常体征,
体检3个产品,Y4,一般检查及体格检查,
体检3个产品,Z4,血压检测、体重指数测定；内科：病史采集及体格检查；耳鼻喉科；眼科常规检查：眼压、裂隙灯检查、眼底照相；筛查常见慢性病的危险因素，如超重/肥胖、高血压；采集疾病诊断所需的重要参考资料；检查疾病的异常体征,
体检3个产品,A5,血液检查,
体检3个产品,B5,血常规：贫血及与各种血细胞如白细胞、血小板异常相关的血液系统疾病的基本检查项目,
体检3个产品,F5,血液检查,
体检3个产品,G5,血常规：贫血及与各种血细胞如白细胞、血小板异常相关的血液系统疾病的基本检查项目,
体检3个产品,K5,血常规,
体检3个产品,L5,贫血及与各种血细胞如白细胞、血小板异常相关的血液系统疾病的基本检查项目,
体检3个产品,M5,"=_wpsfn.WPSAI.TRANSLATE(K5,""英文"")",
体检3个产品,N5,"=_wpsfn.WPSAI.TRANSLATE(L5,""英文"")",
体检3个产品,O5,血常规,
体检3个产品,P5,贫血及与各种血细胞如白细胞、血小板异常相关的血液系统疾病的基本检查项目,
体检3个产品,Q5,"=_wpsfn.WPSAI.TRANSLATE(O5,""英文"")",
体检3个产品,R5,"=_wpsfn.WPSAI.TRANSLATE(P5,""英文"")",
体检3个产品,T5,血常规,
体检3个产品,U5,贫血及与各种血细胞如白细胞、血小板异常相关的血液系统疾病的基本检查项目,
体检3个产品,Y5,血常规,
体检3个产品,Z5,贫血及与各种血细胞如白细胞、血小板异常相关的血液系统疾病的基本检查项目,
体检3个产品,B6,血液：肝功能（不含乙肝两对半）,
体检3个产品,G6,血液：肝功能（不含乙肝两对半）,
体检3个产品,K6,肝功能,
体检3个产品,L6,检测常用的肝、肾功能指标；筛查糖尿病；筛查心血管疾病的危险因素，如血脂异常、高尿酸血症 ,
体检3个产品,M6,"=_wpsfn.WPSAI.TRANSLATE(K6,""英文"")",
体检3个产品,N6,"=_wpsfn.WPSAI.TRANSLATE(L6,""英文"")",
体检3个产品,O6,肝功能,
体检3个产品,P6,检测常用的肝、肾功能指标；筛查糖尿病；筛查心血管疾病的危险因素，如血脂异常、高尿酸血症 ,
体检3个产品,Q6,"=_wpsfn.WPSAI.TRANSLATE(O6,""英文"")",
体检3个产品,R6,"=_wpsfn.WPSAI.TRANSLATE(P6,""英文"")",
体检3个产品,T6,肝功能,
体检3个产品,U6,检测常用的肝、肾功能指标；筛查糖尿病；筛查心血管疾病的危险因素，如血脂异常、高尿酸血症 ,
体检3个产品,Y6,肝功能,
体检3个产品,Z6,检测常用的肝、肾功能指标；筛查糖尿病；筛查心血管疾病的危险因素，如血脂异常、高尿酸血症 ,
体检3个产品,B7,血液生化：空腹血糖、血脂（总胆固醇、高密度脂蛋白胆固醇、低密度脂蛋白胆固醇、甘油三酯）、肾功能（尿素、肌酐）、血尿酸等,
体检3个产品,G7,血液生化：空腹血糖、血脂（总胆固醇、高密度脂蛋白胆固醇、低密度脂蛋白胆固醇、甘油三酯）、肾功能（尿素、肌酐）、血尿酸等,
体检3个产品,K7,心血管生化,
体检3个产品,M7,"=_wpsfn.WPSAI.TRANSLATE(K7,""英文"")",
体检3个产品,N7,"=_wpsfn.WPSAI.TRANSLATE(L7,""英文"")",
体检3个产品,O7,心血管生化,
体检3个产品,Q7,"=_wpsfn.WPSAI.TRANSLATE(O7,""英文"")",
体检3个产品,R7,"=_wpsfn.WPSAI.TRANSLATE(P7,""英文"")",
体检3个产品,T7,心血管生化,
体检3个产品,Y7,心血管生化,
体检3个产品,A8,心电图检查,
体检3个产品,B8,心电图可以用来判断各种心律失常，如：窦性心动过速，窦性心动过缓，心房扑动，心房房颤等,
体检3个产品,F8,心电图检查,
体检3个产品,G8,心电图可以用来判断各种心律失常，如：窦性心动过速，窦性心动过缓，心房扑动，心房房颤等,
体检3个产品,K8,糖化血红蛋白检测,
体检3个产品,L8,糖化血红蛋白反映近2～3个月平均血糖水平，可辅助糖尿病的诊断和筛查,
体检3个产品,M8,"=_wpsfn.WPSAI.TRANSLATE(K8,""英文"")",
体检3个产品,N8,"=_wpsfn.WPSAI.TRANSLATE(L8,""英文"")",
体检3个产品,O8,糖化血红蛋白检测,
体检3个产品,P8,糖化血红蛋白反映近2～3个月平均血糖水平，可辅助糖尿病的诊断和筛查,
体检3个产品,Q8,"=_wpsfn.WPSAI.TRANSLATE(O8,""英文"")",
体检3个产品,R8,"=_wpsfn.WPSAI.TRANSLATE(P8,""英文"")",
体检3个产品,T8,血清蛋白电泳,
体检3个产品,U8,主要用于肝病、肾病、自身免疫性疾病、血液病、多发性骨髓瘤等蛋白质紊乱性疾病,
体检3个产品,Y8,血清蛋白电泳,
体检3个产品,Z8,主要用于肝病、肾病、自身免疫性疾病、血液病、多发性骨髓瘤等蛋白质紊乱性疾病,
体检3个产品,A9,腹部彩超（男）检查,
体检3个产品,B9,腹部彩超（男）：肝脏、胆囊、胰腺、脾脏、双肾、输尿管、膀胱、前列腺。Clinical Significance：探查腹部实质性脏器的异常超声改变，可筛查、诊断/辅助诊断占位性病变（肿瘤）、结石、囊肿等,
体检3个产品,D9,"Abdominal彩超 (Male): Liver, gallbladder, pancreas, spleen, kidneys, ureters, bladder, prostate. Clinical Significance: To explore abnormal ultrasound changes in abdominal solid organs, which can screen for, diagnose or assist in diagnosing space-occupying lesions (tumors), stones, cysts, etc.",
体检3个产品,F9,腹部彩超（女）检查,
体检3个产品,G9,腹部彩超（女）：肝脏、胆囊、胰腺、脾脏、双肾、输尿管、膀胱、子宫、附件（卵巢、输卵管等）。Clinical Significance：探查腹部实质性脏器的异常超声改变，可筛查、诊断/辅助诊断占位性病变（肿瘤）、结石、囊肿等,
体检3个产品,H9,Abdominal彩超 (female) examination,
体检3个产品,I9,"Abdominal彩超 (Female): Liver, Gallbladder, Pancreas, Spleen, Both Kidneys, Ureters, Bladder, Uterus, Adnexa (Ovaries, Fallopian Tubes, etc.). Clinical Significance: To detect abnormal ultrasonic changes in the abdominal solid organs, and to screen for, diagnose or assist in diagnosing space-occupying lesions (tumors), stones, cysts, etc.",
体检3个产品,K9,肿瘤标志物5项,
体检3个产品,L9,血液：癌胚抗原、游离前列腺特异性抗原、总前列腺特异性抗原、糖类抗原724（CA724）、糖类抗原199（CA199）。Clinical Significance：用于恶性肿瘤的辅助诊断,
体检3个产品,M9,"=_wpsfn.WPSAI.TRANSLATE(K9,""英文"")",
体检3个产品,N9,"=_wpsfn.WPSAI.TRANSLATE(L9,""英文"")",
体检3个产品,O9,甲状腺功能检查5项,
体检3个产品,P9,临床用于诊断甲状腺疾病（如甲亢、甲减、甲状腺炎等）的主要指标,
体检3个产品,Q9,"=_wpsfn.WPSAI.TRANSLATE(O9,""英文"")",
体检3个产品,R9,"=_wpsfn.WPSAI.TRANSLATE(P9,""英文"")",
体检3个产品,T9,糖化血红蛋白检测,
体检3个产品,U9,糖化血红蛋白反映近2～3个月平均血糖水平，可辅助糖尿病的诊断和筛查,
体检3个产品,Y9,糖化血红蛋白检测,
体检3个产品,Z9,糖化血红蛋白反映近2～3个月平均血糖水平，可辅助糖尿病的诊断和筛查,
体检3个产品,A10,放射检查（胸部X线）,
体检3个产品,B10,用于检查胸部（肺、纵膈、心脏、骨性胸廓）病变，如肺部炎症、结核、肿瘤等。,
体检3个产品,F10,放射检查（胸部X线）,
体检3个产品,G10,用于检查胸部（肺、纵膈、心脏、骨性胸廓）病变，如肺部炎症、结核、肿瘤等。,
体检3个产品,K10,肝癌早期筛查3项,
体检3个产品,L10,作为肝癌筛查的常用指标，3项联合检测可以提高筛查早期肝癌的敏感性,
体检3个产品,M10,"=_wpsfn.WPSAI.TRANSLATE(K10,""英文"")",
体检3个产品,N10,"=_wpsfn.WPSAI.TRANSLATE(L10,""英文"")",
体检3个产品,O10,血同型半胱氨酸检测,
体检3个产品,P10,血同型半胱氨酸是心血管疾病的重要危险因素，用于评估心血管疾病的发病风险，适用于高血压人群,
体检3个产品,Q10,"=_wpsfn.WPSAI.TRANSLATE(O10,""英文"")",
体检3个产品,R10,"=_wpsfn.WPSAI.TRANSLATE(P10,""英文"")",
体检3个产品,T10,甲状腺功能检查5项,
体检3个产品,U10,临床用于诊断甲状腺疾病（如甲亢、甲减、甲状腺炎等）的主要指标,
体检3个产品,Y10,甲状腺功能检查5项,
体检3个产品,Z10,临床用于诊断甲状腺疾病（如甲亢、甲减、甲状腺炎等）的主要指标,
体检3个产品,A11,尿液检查,
体检3个产品,B11,反映泌尿系统（肾脏等）疾病最基本的检查项目,
体检3个产品,F11,妇科检查,
体检3个产品,G11,电子阴道镜检查,
体检3个产品,K11,甲状腺功能检查5项,
体检3个产品,L11,临床用于诊断甲状腺疾病（如甲亢、甲减、甲状腺炎等）的主要指标,
体检3个产品,M11,"=_wpsfn.WPSAI.TRANSLATE(K11,""英文"")",
体检3个产品,N11,"=_wpsfn.WPSAI.TRANSLATE(L11,""英文"")",
体检3个产品,O11,肿瘤标志物7项,
体检3个产品,P11,血液：癌胚抗原（CEA）、糖类抗原199（CA199）、糖类抗原153（CA153）、糖类抗原125（CA125）、神经原特异性烯醇化酶（NSE）、糖类抗原724（CA724）、非小细胞肺癌相关抗原（CYFRA21-1）。Clinical Significance：用于恶性肿瘤的辅助诊断,
体检3个产品,Q11,"=_wpsfn.WPSAI.TRANSLATE(O11,""英文"")",
体检3个产品,R11,"=_wpsfn.WPSAI.TRANSLATE(P11,""英文"")",
体检3个产品,T11,肿瘤标志物7项,
体检3个产品,U11,血液：癌胚抗原（CEA）、糖类抗原199（CA199）、游离前列腺特异性抗原（fPSA）、总前列腺特异性抗原（PSA）、神经原特异性烯醇化酶（NSE）、糖类抗原724（CA724）、非小细胞肺癌相关抗原（CYFRA21-1）。Clinical Significance：用于恶性肿瘤的辅助诊断,
体检3个产品,Y11,肿瘤标志物7项,
体检3个产品,Z11,血液：癌胚抗原（CEA）、糖类抗原199（CA199）、糖类抗原153（CA153）、糖类抗原125（CA125）、神经原特异性烯醇化酶（NSE）、糖类抗原724（CA724）、非小细胞肺癌相关抗原（CYFRA21-1）。Clinical Significance：用于恶性肿瘤的辅助诊断,
体检3个产品,A12,人体成分分析检测,
体检3个产品,B12,了解身体脂肪、蛋白质等分布状况及营养状态，主要测定人体脂肪的百分含量即脂肪占体重的比例，是判断肥胖程度、“正常体重”者发现“隐性肥胖”的重要指标,
体检3个产品,G12,宫颈癌高危致病病毒早期筛查金标准 HPV16、18型+白带常规,
体检3个产品,K12,肺癌4项,
体检3个产品,L12,肺癌早期筛查,
体检3个产品,M12,"=_wpsfn.WPSAI.TRANSLATE(K12,""英文"")",
体检3个产品,N12,"=_wpsfn.WPSAI.TRANSLATE(L12,""英文"")",
体检3个产品,O12,肿瘤标志物（肝癌早期筛查3项）,
体检3个产品,P12,作为肝癌筛查的常用指标，3项联合检测可以提高筛查早期肝癌的敏感性,
体检3个产品,Q12,"=_wpsfn.WPSAI.TRANSLATE(O12,""英文"")",
体检3个产品,R12,"=_wpsfn.WPSAI.TRANSLATE(P12,""英文"")",
体检3个产品,T12,肝癌早期筛查3项,
体检3个产品,U12,作为肝癌筛查的常用指标，3项联合检测可以提高筛查早期肝癌的敏感性,
体检3个产品,Y12,肝癌早期筛查3项,
体检3个产品,Z12,作为肝癌筛查的常用指标，3项联合检测可以提高筛查早期肝癌的敏感性,
体检3个产品,A13,早餐,
体检3个产品,B13,营养早餐：鸡蛋、牛奶、面点、粥、小菜等,
体检3个产品,F13,尿液检查,
体检3个产品,G13,反映泌尿系统（肾脏等）疾病最基本的检查项目,
体检3个产品,K13,心电图检查,
体检3个产品,L13,心电图可以用来判断各种心律失常，如：窦性心动过速，窦性心动过缓，心房扑动，心房房颤等,
体检3个产品,M13,"=_wpsfn.WPSAI.TRANSLATE(K13,""英文"")",
体检3个产品,N13,"=_wpsfn.WPSAI.TRANSLATE(L13,""英文"")",
体检3个产品,O13,心电图检查,
体检3个产品,P13,心电图可以用来判断各种心律失常，如：窦性心动过速，窦性心动过缓，心房扑动，心房房颤等,
体检3个产品,Q13,"=_wpsfn.WPSAI.TRANSLATE(O13,""英文"")",
体检3个产品,R13,"=_wpsfn.WPSAI.TRANSLATE(P13,""英文"")",
体检3个产品,T13,肺癌7种自身抗体检测,
体检3个产品,U13,肺癌自身抗体是新型肿瘤标记物，适用于肺癌高危人群筛查，也可用于肺癌辅助诊断，或肺结节生物良恶性评估。,
体检3个产品,Y13,肺癌7种自身抗体检测,
体检3个产品,Z13,肺癌自身抗体是新型肿瘤标记物，适用于肺癌高危人群筛查，也可用于肺癌辅助诊断，或肺结节生物良恶性评估。,
体检3个产品,A14,材料费,
体检3个产品,B14,一次性耗材、档案管理,
体检3个产品,F14,早餐,
体检3个产品,G14,营养早餐：鸡蛋、牛奶、面点、粥、小菜等,
体检3个产品,K14,彩色多普勒超声检查,
体检3个产品,L14,腹部彩超（男）：肝脏、胆囊、胰腺、脾脏、双肾、输尿管、膀胱、前列腺。Clinical Significance：探查腹部实质性脏器的异常超声改变，可筛查、诊断/辅助诊断占位性病变（肿瘤）、结石、囊肿等,
体检3个产品,M14,"=_wpsfn.WPSAI.TRANSLATE(K14,""英文"")",
体检3个产品,N14,"=_wpsfn.WPSAI.TRANSLATE(L14,""英文"")",
体检3个产品,O14,彩色多普勒超声检查,
体检3个产品,P14,腹部彩超（女）：肝脏、胆囊、胰腺、脾脏、双肾、输尿管、膀胱、子宫、附件（卵巢、输卵管等）。Clinical Significance：探查腹部实质性脏器的异常超声改变，可筛查、诊断/辅助诊断占位性病变（肿瘤）、结石、囊肿等,
体检3个产品,Q14,"=_wpsfn.WPSAI.TRANSLATE(O14,""英文"")",
体检3个产品,R14,"=_wpsfn.WPSAI.TRANSLATE(P14,""英文"")",
体检3个产品,T14,胃功能检查,
体检3个产品,U14,胃镜是胃癌筛查的首选检查方法，推荐不愿意接受胃镜检查的胃癌筛查者进行此项检查，筛查胃癌高风险人群，结果为胃癌高风险者应考虑进一步胃镜检查。,
体检3个产品,Y14,胃功能检查,
体检3个产品,Z14,胃镜是胃癌筛查的首选检查方法，推荐不愿意接受胃镜检查的胃癌筛查者进行此项检查，筛查胃癌高风险人群，结果为胃癌高风险者应考虑进一步胃镜检查。,
体检3个产品,F15,材料费,
体检3个产品,G15,一次性耗材、档案管理,
体检3个产品,I15,"Disposable consumables,档案管理",
体检3个产品,L15,甲状腺彩超。Clinical Significance：检查甲状腺的形态、大小等改变，筛查甲状腺结节等病变,
体检3个产品,M15,"=_wpsfn.WPSAI.TRANSLATE(K15,""英文"")",
体检3个产品,N15,"=_wpsfn.WPSAI.TRANSLATE(L15,""英文"")",
体检3个产品,P15,乳腺彩超。检查乳腺常见病变，乳腺彩超也是女性适龄人群乳腺癌筛查推荐的检查手段之一,
体检3个产品,Q15,"=_wpsfn.WPSAI.TRANSLATE(O15,""英文"")",
体检3个产品,R15,"=_wpsfn.WPSAI.TRANSLATE(P15,""英文"")",
体检3个产品,T15,抗胰岛素抗体测定,
体检3个产品,U15,主要是鉴别诊断I型糖尿病，并且对糖尿病的筛查具有更高的灵敏度,
体检3个产品,Y15,抗胰岛素抗体测定,
体检3个产品,Z15,主要是鉴别诊断I型糖尿病，并且对糖尿病的筛查具有更高的灵敏度,
体检3个产品,L16,心脏彩色多普勒超声心动图。Clinical Significance：心脏彩超是检查心脏大血管结构、形态最常用的方法，是诊断先天性心脏病、心脏瓣膜病、心肌病等结构性心脏病的主要手段,
体检3个产品,M16,"=_wpsfn.WPSAI.TRANSLATE(K16,""英文"")",
体检3个产品,N16,"=_wpsfn.WPSAI.TRANSLATE(L16,""英文"")",
体检3个产品,P16,甲状腺彩超。Clinical Significance：检查甲状腺的形态、大小等改变，筛查甲状腺结节等病变,
体检3个产品,Q16,"=_wpsfn.WPSAI.TRANSLATE(O16,""英文"")",
体检3个产品,R16,"=_wpsfn.WPSAI.TRANSLATE(P16,""英文"")",
体检3个产品,T16,无创肠癌基因检测,
体检3个产品,U16,通过无创方式发现肠道早期癌前病变,
体检3个产品,Y16,无创肠癌基因检测,
体检3个产品,Z16,通过无创方式发现肠道早期癌前病变,
体检3个产品,K17,大便隐血定量,
体检3个产品,L17,筛查肉眼不可见的消化道出血（常见原因有消化道溃疡、恶性肿瘤等），定量试验相对于定性试验更为精确,
体检3个产品,M17,"=_wpsfn.WPSAI.TRANSLATE(K17,""英文"")",
体检3个产品,N17,"=_wpsfn.WPSAI.TRANSLATE(L17,""英文"")",
体检3个产品,O17,妇科检查,
体检3个产品,P17,妇科检查＋宫颈液基薄层细胞学检查（TCT）。筛查宫颈癌及癌前病变。,
体检3个产品,Q17,"=_wpsfn.WPSAI.TRANSLATE(O17,""英文"")",
体检3个产品,R17,"=_wpsfn.WPSAI.TRANSLATE(P17,""英文"")",
体检3个产品,T17,尿常规,
体检3个产品,U17,反映泌尿系统（肾脏等）疾病最基本的检查项目,
体检3个产品,Y17,尿常规,
体检3个产品,Z17,反映泌尿系统（肾脏等）疾病最基本的检查项目,
体检3个产品,K18,尿常规,
体检3个产品,L18,反映泌尿系统（肾脏等）疾病最基本的检查项目,
体检3个产品,M18,"=_wpsfn.WPSAI.TRANSLATE(K18,""英文"")",
体检3个产品,N18,"=_wpsfn.WPSAI.TRANSLATE(L18,""英文"")",
体检3个产品,P18,人乳头瘤病毒（HPV）高危型23项检测。人乳头瘤病毒（HPV）感染尤其是高危型HPV感染是宫颈癌及其癌前病变发生的主要病因，大多数HPV感染无症状，但感染持续存在可诱发宫颈癌变。,
体检3个产品,Q18,"=_wpsfn.WPSAI.TRANSLATE(O18,""英文"")",
体检3个产品,R18,"=_wpsfn.WPSAI.TRANSLATE(P18,""英文"")",
体检3个产品,T18,尿核基质蛋白22（NMP）检测,
